Gen 1:1  Na_początku stworzył Bóg ** niebo i_** ziemię.
Gen 38:9  I_wiedział Onan, że nie jego będzie potomstwo, i_było_(tak) ilekroć_przychodził do_żony brata_swego, i_wylewał na_ziemię, aby_nie dać_nasienia dla_brata_swojego.
Gen 38:10  A_było_złe w_oczach JHWH to,_co czynił, i_zesłał_śmierć także_na_niego.
Gen 38:11  I_powiedział Juda do_Tamar synowej_swojej: Pozostań wdową (w)_domu_ojca_twojego, aż_urośnie Szela, syn_mój. Dlatego mówił_(to), aby_nie_umarł także_on jak_bracia_jego. I_poszła Tamar i_zamieszkała (w)_domu ojca_swego.
Gen 38:12  I_minęło_wiele dni, i_umarła córka_Szuy, żona_Judy. I_pocieszał_się Juda. I_poszedł do_strzygących owce_jego, on i_Chira, przyjaciel_jego, Adullamita do_Timny.
Gen 38:13  I_doniesiono Tamar, mówiąc: Oto teść_twój idzie do_Timny, aby_strzyc owce_swoje.
Gen 38:14  I_zdjęła szaty wdowie_swoje z_siebie, i_zakryła_się zasłoną, i_owinęła_się, i_usiadła przy_wejściu (do)_Einaim, które_(było) w_drodze do_Timny. Bo widziała, że_urósł Szela, a_ona nie_została_oddana mu za_żonę.
Gen 38:15  I_ujrzał_ją Juda, i_pomyślał_o_niej (że)_jest_nierządnicą, bo zakryła twarz_swoją.
Gen 38:16  I_zaszedł do_niej do_drogi, i_powiedział: Pozwól,_proszę, pójdę do_ciebie. Bo nie wiedział, że synową_jego ona_(jest). A_(ona)_powiedziała: Co_dasz_mi, jeśli pójdziesz do_mnie.
Gen 38:17  I_powiedział: Ja przyślę koziołka z_trzody. A_(ona)_powiedziała: Jeśli_dasz zastaw zanim przyślesz.
Gen 38:18  I_powiedział: Jaki_(będzie) zastaw, który dam_tobie? I_powiedziała: Pieczęć_twoją i_sznur_twój, i_laskę_twoją, którą (masz)_w_rękach_twoich. I_dał_jej i_poszedł do_niej, i_poczęła mu.
Gen 38:19  I_wstała, i_odeszła, i_zdjęła zasłonę_swoją z_niej, i_ubrała szaty wdowie.
Gen 38:20  I_posłał Juda **_koziołka ** przez_rękę przyjaciela Adullamitę, aby_wziął zastaw z_ręki kobiety, i_nie znalazł_jej.
Gen 38:21  I_pytał **_ludzi (w)_miejscowości_jej, mówiąc: Gdzie (jest)_nierządnica_sakralna, ona (była)_w_Enaim na_drodze? A_oni_odpowiadali: Nie_było tutaj nierządnicy_sakralnej.
Gen 38:22  I_powrócił do_Judy i_powiedział: Nie znalazłem_jej a_także ludzie tej_miejscowości mówili, (że)_nie_było tutaj nierządnicy_sakralnej.
Gen 38:23  I_powiedział Juda: Niech_weźmie_dla_siebie, także_nie będziemy (wystawieni)_na_kpiny. Oto posłałem koźlątko to, a_ty nie znalazłeś_jej.
Gen 38:24  I_stało_się, że_po_trzech miesiącach doniesiono Judzie, mówiąc: Cudzołożyła Tamar synowa_twoja, a_także oto zaszła_w_ciążę podczas_cudzołóstwa. I_powiedział Juda: Wyprowadźcie_ją, i_niech_spalona
Gen 38:25  (Kiedy)_ona była_wyprowadzana, ta_ona posłała do_teścia_swego, mówiąc:(Z)_mężczyzną, którego_te_(rzeczy)(są)_jego, ja zaszłam_w_ciążę. I_powiedział: Rozpoznajże_** do_kogo_(należy) pieczęć i_sznur, i_laska, te_oto.
Gen 38:26  I_poznał Juda, i_powiedział:(Bardziej)_ona_prawa ode_mnie, ponieważ nie_dałem_jej Szeli, syna_mojego. I_nie_powtórzył więcej, aby_poznał_ją.
Gen 38:27  I_stało_się, w_czasie porodu_jej, a_oto_(miała) bliźniaki w_łonie_jej.
Gen 38:28  A_było_(tak) przy_porodzie_jej, i_wyciągnęło_rękę_(jedno) i_wzięła położna, i_zawiązała na_ręce_jego nitkę_czerwoną, mówiąc: To wychodzi pierwsze.
Gen 38:29  I_stało_się, że_cofnęła_się ręka_jego, i_oto wyszedł brat_jego. I_powiedziała: Czemu_przedarłeś_się (robiąc)_dla_siebie przejście? I_nazwano imię_jego: Peres.
Gen 38:30  A_potem wyszedł brat_jego, który (miał)_na_ręce_swojej nitkę_czerwoną i_nazwano imię_jego Zerach.
Gen 39:1  A_Józef został_sprowadzony do_Egiptu i_kupił_go Potifar, urzędnik faraona, dowódcy straży_przybocznej,[mąż] Egipcjanin z_rąk Iszmaelitów, którzy sprowadzili_go tam.
Gen 39:2  I_był JHWH **_(z)_Józefem, i_stał_się człowiekiem, mającym_szczęście, i_był w_domu pana_swego, Egipcjanina.
Gen 39:3  I_widział pan_jego, że JHWH (był)_z_nim, i_wszystko co_on czyni, JHWH sprawia,_szczęśliwym w_ręku_jego.
Gen 39:4  I_znalazł Józef łaskę w_oczach_jego, i_służył mu, a_on_ustanowił_go nad_domem_swoim, i_wszystko,_co_należało_do_niego dał w_rękę_jego.
Gen 39:5  I_stało_się, (że)_odkąd ustanowił go w_domu_jego, i_nad wszystkim,_co należy_do_niego, to_pobłogosławił JHWH **_dom Egipcjanina z_powodu Józefa, a_było błogosławieństwo JHWH we_wszystkim,_co należało_do_niego w_domu i_w_polu.
Gen 39:6  I_pozostawił wszystko,_co_jego w_ręku_Józefa, i_nie_zajmowało przy_nim nic oprócz**_pożywienia, które_on jadł. I_stał_się Józef pięknej_postaci i_pięknego wyglądu.
Gen 39:7  A_stało_się po rzeczach tych, (że)_podniosła żona_pana_jego **_oczy_swoje na_Józefa, i_powiedziała: Połóż_się ze_mną.
Gen 39:8  A_on_odmówił, i_powiedział do_żony pana_swego: Oto pan_mój nie_zajmuje_się przy_mnie, (bo_to)_co_w_domu, i_wszystko co_należy_do_niego dał w_rękę_moją.
Gen 39:9  Nie_ma_nikogo większego w_domu tym ode_mnie i_nie_zabrania mi_się niczego, jak prócz_ciebie, ponieważ ty_(jesteś)_żoną_jego. A_jak mógłbym_uczynić zło wielkie takie, i_zgrzeszyć przeciw_Bogu.
Gen 39:10  I_stało_się, że_mówiła do_Józefa dzień (w)_dzień, i_nie_posłuchał jej aby_położyć_się obok_niej, aby_być z_nią.
Gen 39:11  I_stało_się, dnia pewnego, że_wszedł do_domu, aby_wykonać pracę_swoją, i_nie_(było) żadnego z_ludzi domu tam w_domu.
Gen 39:12  I_złapała_go za_szatę_jego, mówiąc: Połóż_się ze_mną, i_pozostawił szatę_swoją w_ręku_jej, i_uciekł, i_wyszedł na_zewnątrz.
Gen 39:13  I_stało_się, gdy_zobaczyła, że_zostawił szatę_swoją w_ręku_jej, i_uciekł na_zewnątrz,
Gen 39:14  i_zawołała do_ludzi domu_swojego, i_powiedziała do_nich, mówiąc: Patrzcie sprowadzono do_nas [męża] Hebrajczyka, aby_swawolić z_nami. Przyszedł do_mnie, aby_położyć_się ze_mną, a_ja_zawołałam głosem wielkim.
Gen 39:15  I_stało_się, gdy_usłyszał, że_podniosłam głos_mój, i_zawołałam, i_zostawił szatę_swoją u_mnie, i_uciekł, i_wyszedł na_zewnątrz.
Gen 39:16  I_zatrzymała szaty_jego u_niej, aż_przyszedł pan_jego do_domu_swego.
Gen 39:17  I_rozmawiała z_nim o_rzeczach tych, mówiąc: Przyszedł_do_mnie wieczorem Hebrajczyk, którego_sprowadziłeś nam, aby_swawolił ze_mną.
Gen 39:18  I_stało_się, że_podniosłam głos_mój, i_wołałam, i_zostawił szatę_swoją u_mnie, i_uciekł na_zewnątrz.
Gen 39:19  I_stało_się, że_usłyszał pan_jego **_słowa żony_jego, która rozmawiała z_nim, mówiąc: Tak,_jak_słowa te uczynił mi sługa_twój. I_zapłonął gniew_jego.
Gen 39:20  I_wziął pan Józefa, jego, i_oddał_go do_[domu] więzienia, miejsca, gdzie_więźniowie *** króla (byli)_więzieni. I_był_tam w_[domu] więzienia.
Gen 39:21  Ale_był JHWH z_Józefem i_zwrócił ku_niemu łaskawość, i_dał łaskę_mu w_oczach dowódcy [domu]_więzienia.
Gen 39:22  I_dał przełożony [domu]_więzienia w_rękę_Józefa ** wszystkich_więźniów, którzy_(byli) w_[domu] więzieniu i_** wszystko,_co uczynią tam, on był czyniący.
Gen 39:23  Nie_(był) przełożony [domu]_więzienia pilnującym **_**_cokolwiek (co_było)_w_ręku_jego, gdyż JHWH (był)_z_nim, i_to,_co_on czynił, JHWH sprawiał_szczęśliwym.
Gen 40:1  I_stały_się potem rzeczy takie, zgrzeszyli podczaszy króla_Egiptu 40.1 i_piekarz przeciw_panu_swemu, przeciw_królowi Egiptu.
Gen 40:2  I_rozgniewał_się faraon na dwóch dworzan_swoich, na przełożonego podczaszych i_na przełożonego piekarzy.
Gen 40:3  I_dał ich pod_straż domu dowódcy straży_przybocznej, do_[domu] więzienia, miejsca, (w)_którym Józef uwięziony (był)_tam.
Gen 40:4  I_ustanowił dowódca straży_przybocznej **_Józefa przy_nich, i_usługiwał im. I_byli (jakiś)_czas pod_strażą.
Gen 40:5  I_śnili sen obaj, każdy sen_swój w_noc jedną, każdemu według_znaczenia snu_jego, podczaszemu i_piekarzowi,[którzy] króla Egiptu, którzy (byli)_uwięzieni w_[domu] więzieniu.
Gen 40:6  I_przyszedł do_nich Józef rankiem, i_zobaczył ich, a_oto_oni (byli)_przygnębieni.
Gen 40:7  I_zapytał **_dworzan faraona, którzy_(byli) z_nim pod_strażą domu pana_jego, mówiąc: Dlaczego twarze_wasze nieszczęśliwe dzisiaj?
Gen 40:8  I_powiedzieli do_niego: Sen śniliśmy, a_wyjaśniającego, nie_ma go. I_powiedział do_nich Józef: Czyż_nie (należą)_do_Boga wyjaśnienia? Opowiedzcie_** mnie.
Gen 40:9  I_opowiedział przełożony_podczaszych **_sen_swój Józefowi. I_powiedział mu: We_śnie_moim, a_oto_latorośl_winna przede_mną.
Gen 40:10  A_na_tej_latorośli_winnej_(były) trzy gałązki, a_ona kiedy_wyrosła, rozwinęła kwiaty_jej, dojrzały grona_jej jagód_winnych.
Gen 40:11  I_kielich faraona w_ręku_moim, i_wziąłem **_jagody_winne, i_wycisnąłem je do_kielicha faraona, i_dałem **_kielich do_dłoni faraona.
Gen 40:12  I_powiedział mu Józef: To_jest wyjaśnienie_jego: trzy gałązki (to)_trzy dni (są)_one.
Gen 40:13  Za trzy dni podniesie faraon **_głowę_twoją, i_przywróci_ciebie na_stanowisko_twoje, i_będziesz_podawał kielich_faraona do_ręki_jego według_zwyczaju wcześniejszego, gdy byłeś podczaszym_jego.
Gen 40:14  Jeżeli jednak_przypomnisz_mnie sobie, kiedy będzie_dobrze ci, i_uczynisz_** mi łaskawość, (to)_wspomnij_mnie przed_faraonem, i_wyprowadź_mnie z_domu tego.
Gen 40:15  Bo_[będąc_uprowadzonym] zostałem_uprowadzony z_ziemi Hebrajczyków, a_także_tutaj nie_uczyniłem nic, aby_wsadzono mnie do_lochu.
Gen 40:16  I_zobaczył przełożony_piekarzy, że dobrze wyjaśnił. I_powiedział do_Józefa: Także_ja w_śnie_moim, a_oto trzy kosze chleba_białego na_głowie_mojej.
Gen 40:17  A_w_koszu, będącym_na_wierzchu z_wszelkiego jedzenia faraona, wyrobu piekarza, ale_ptactwo jadło je z_kosza, znad głowy_mojej.
Gen 40:18  I_odpowiedział Józef. I_powiedział: To_(jest) wyjaśnienie_jego: trzy kosze (to)_trzy dni, (są)_one.
Gen 40:19  Za trzy dni podniesie faraon **_głowę_twoją znad_ciebie, i_powiesi cię na_drzewie, i_będzie_jadło ptactwo **_ciało_twoje znad_ciebie.
Gen 40:20  I_stało_się, dnia, trzeciego, dnia urodzin **_faraona, że_zrobił ucztę dla_wszystkich_sług_swoich, i_podniósł **_głowę przełożonego podczaszych i_głowę przełożonego piekarzy pośród sług_swoich.
Gen 40:21  I_przywrócił **_przełożonego podczaszych na_urząd_podczaszego_swego, i_dał kielich do_dłoni faraona.
Gen 40:22  A przełożonego piekarzy powiesił, jak objaśnił im Józef.
Gen 40:23  I_nie_pamiętał przełożony_podczaszych **_(o)_Józefie, i_zapomniał_go.
Gen 41:1  A_stało_się, po_upływie dwóch_lat czasu a_faraonowi śniło_się, że_oto stoi nad_rzeką.
Gen 41:2  I_oto z_rzeki wychodzi siedem krów pięknych z_wyglądu i_zdrowych (na)_ciele, i_wypasały_się w_sitowiu.
Gen 41:3  I_oto siedem krów innych wychodzi za_nimi z_rzeki brzydkich z_wyglądu i_chudych na_ciele, i_stanęły przy tamtych_krowach, nad_brzegiem rzeki.
Gen 41:4  I_pożarły krowy brzydkie (z)_wyglądu i_chude na_ciele ** siedem krów pięknych (z)_wyglądu i_zdrowych. I_obudził_się faraon.
Gen 41:5  I_zasnął i_śnił (raz)_drugi: I_oto siedem kłosów wychodzi z_źdźbła jednego zdrowych i_pięknych.
Gen 41:6  A_oto siedem kłosów pustych i_wysuszonych (przez)_wiatr_wschodni, wyrasta po_nich.
Gen 41:7  I_połknęły kłosy puste ** siedem kłosów zdrowych i_pełnych. I_obudził_się faraon, a_oto_(był) sen.
Gen 41:8  I_stało_się rankiem, że_był_zaniepokojony duch_jego i_posłał, i_zawołał **_wszystkich_wróżbiarzy egipskich i_**_wszystkich_mędrców. I_opowiedział faraon im**_sen_swój, i_nie_(było)_jaśniejącego je **_faraonowi.
Gen 41:9  I_rozmawiał przełożony podczaszych z_faraonem, mówiąc: **_Grzechy_moje ja sobie_przypominam dzisiaj.
Gen 41:10  Faraon rozgniewał_się na_sługi_swoje, i_oddał mnie pod_straż domu dowódcy straży_przybocznej, mnie i przełożonego piekarzy.
Gen 41:11  I_śniliśmy sen w_noc jedną ja i_on, każdy według_znaczenia snu_swego, śniliśmy.
Gen 41:12  A_tam_(był) z_nami młodzieniec, Hebrajczyk, sługa dowódcy straży_przybocznej i_opowiedzieliśmy_mu, a_on_wyjaśnił_nam **_sny_nasze, każdemu według_snu_jego wyjaśnił.
Gen 41:13  I_stało_się jak wyjaśnił_nam, tak było, mnie przywrócono na_stanowisko_moje, a_jego powieszono.
Gen 41:14  I_posłał faraon, i_wezwał **_Józefa. I_szybko_wyprowadzili_go z_lochu. I_ogolił_się i_zmienił ubranie_swoje, i_przyszedł do_faraona.
Gen 41:15  I_powiedział faraon do_Józefa: Sen śniłem, a_wyjaśniającego ma_nie go. A_ja słyszałem, o_tobie mówiono, (że)_zrozumiesz sen, aby_wyjaśnić go.
Gen 41:16  I_odpowiedział Józef**_faraonowi, mówiąc: Nie_ja! Bóg odpowie **_powodzenie faraonowi.
Gen 41:17  I_powiedział faraon do_Józefa: W_śnie_moim, oto_ja stoję nad_brzegiem rzeki.
Gen 41:18  I_oto z_rzeki[ą] wychodzi siedem krów, zdrowych (na), ciele i_pięknego wyglądu, i_pasły_się w_sitowiu.
Gen 41:19  A_oto siedem_krów innych [ą] wychodzi za_nimi, chudych i_brzydkiego wyglądu bardzo, i_chudych (na)_ciele, nie_widziałem jak_one w_całej_ziemi egipskiej, w_brzydocie.
Gen 41:20  I_pożarły krowy chude i_brzydkie ** siedem krów pierwszych i_zdrowych.
Gen 41:21  I_weszły do_wnętrza_ich to_nie poznano, że_weszły do_wnętrza_ich, a_wygląd_ich (był)_zły jak na_początku. I_obudziłem_się
Gen 41:22  I_ujrzałem we_śnie_moim, a_oto siedem kłosów wyrasta (z)_źdźbła jednego pełnych i_pięknych.
Gen 41:23  I_oto siedem kłosów wyschniętych, pustych wysuszonych (przez)_wiatr_wschodni wyrasta za_nimi.
Gen 41:24  I_połknęły kłosy chude ** siedem kłosów dorodnych. I_powiedziałem **_wróżbiarzom, i_nie_ma_(nikogo), (kto)_wytłumaczyłby mi.
Gen 41:25  I_powiedział Józef do_faraona: Sen faraona jeden (jest)_on, ** co Bóg uczyni, oznajmił faraonowi.
Gen 41:26  Siedem krów pięknych, (to)_siedem lat, oto i_siedem kłosów pięknych (to)_siedem lat, oto sen jeden (jest)_[on].
Gen 41:27  A_siedem krów chudych i_brzydkich wychodzących za_nimi, to_siedem lat, oto i_siedem kłosów pustych, wysuszonych (przez)_wschodni_wiatr będą siedmioma latami głodu.
Gen 41:28  To słowo, które powiedziałem do_faraona: Co Bóg uczyni, ukazał **_faraonowi.
Gen 41:29  Oto siedem lat przyjdzie obfitości wielkiej w_całej_ziemi egipskiej.
Gen 41:30  I_nastanie siedem lat głodu po_nich. I_zapomni_się całą_obfitość w_ziemi egipskiej, i_zniszczy głód **_kraj.
Gen 41:31  I_nie_będzie_znać obfitości w_ziemi, z_powodu głodu, tego potem_**, gdyż_ciężki (będzie)_on bardzo.
Gen 41:32  A_ponieważ powtórzył_się ten_sen **_faraonowi dwukrotnie, to_że_postanowiona ta_sprawa u Boga, i_przyspiesza Bóg spełnienie_jej.
Gen 41:33  A_teraz niech_upatrzy faraon męża rozsądnego i_mądrego. I_postawi_go nad_krajem Egiptu.
Gen 41:34  Niech_uczyni faraon, aby_wyznaczył nadzorców nad_krajem, i_zbierał z_ziemi egipskiej w_czasie_urodzaju, lat siedmiu.
Gen 41:35  I_zgromadzą **_wszelką_żywność (podczas)_lat dobrych, które_przyjdą, tych, i_pozbierają_zboże pod ręką_faraona (na)_żywność w_miastach, i_będą_strzegli.
Gen 41:36  I_będzie ta_żywność jako_zapas dla_kraju na_siedem lat głodu, które będą w_kraju Egiptu, i_nie_wyginie ten_kraj z_głodu.
Gen 41:37  I_było_dobre słowo w_oczach faraona i_w_oczach wszystkich_sług_jego.
Gen 41:38  I_powiedział faraon do_sług_swoich: Czy_znajdziemy podobnego męża, który (miałby)_ducha Bożego w_sobie?
Gen 41:39  I_powiedział faraon do_Józefa: Potem (jak)_pouczył Bóg ciebie o_wszystkim_tym, nie_ma_rozsądnego i_mądrego jak_ty.
Gen 41:40  Ty będziesz nad_domem_moim, i_na_rozkaz_twój będzie_rządzony cały_lud_mój, tylko tronem będę_wyższy od_ciebie.
Gen 41:41  I_powiedział faraon do_Józefa: Zobacz, ustanowiłem cię nad całą_ziemią egipską!
Gen 41:42  I_zdjął faraon**_pierścień_swój z ręki_swojej, i_dał go na_rękę Józefa, i_kazał_ubrać go w_szaty_z_czystego_lnu, i_włożyć łańcuch złoty na_szyję_jego.
Gen 41:43  Potem_kazał_jechać mu na_rydwanie drugim, który_(był)_jego. I_wołali przed_nim: Abrek! I_ustanowił go nad całą_ziemią egipską.
Gen 41:44  I_powiedział faraon do_Józefa: Ja_(jestem) faraonem, ale_bez_ciebie nie_podniesie nikt **_ręki_swojej i_**_nogi_swojej w_całej_ziemi egipskiej.
Gen 41:45  I_nazwał faraon imię_Józefa Safenat_Paneach. I_dał_mu **_Asenat, córkę_Poti_Fera kapłana (z)_On za_żonę. I_poszedł Józef po_ziemi egipskiej.
Gen 41:46  A_Józef (miał)_**_trzydzieści lat, gdy_stanął przed faraonem królem_Egiptu, i_wyszedł Józef sprzed_oblicza faraona, i_przeszedł całą_ziemię egipską.
Gen 41:47  I_przynosiła ziemia przez_siedem lat obfitość garściami.
Gen 41:48  I_gromadził **_całą_żywność (przez)_siedem lat, które były w_ziemi egipskiej, i_składał_żywność w_miastach, żywność (z)_pól_miasta, które_(były) wokół_niego składał w_nim.
Gen 41:49  I_zebrał Józef zboża, jak_piasku morskiego, (tak)_wiele bardzo, aż **_przestał (je)_liczyć, bo_nie_(było) liczby.
Gen 41:50  A_Józefowi urodziło_się dwóch synów, zanim przyszedł rok głodu, których urodziła_mu Asenat córka_Poti_Fera, kapłana (z)_On.
Gen 41:51  I_nazwał Józef **_imię pierworodnego Manasses, bo_pozwolił_zapomnieć_mi Bóg **_nieszczęście_moje i cały_dom ojca_mego.
Gen 41:52  A_** imię drugiego nazwał Efraim, bo_uczynił_płodnym_mnie Bóg w_ziemi biedy_mojej.
Gen 41:53  A_gdy_skończyło_się siedem lat obfitości, która był w_ziemi egipskiej.
Gen 41:54  I_zaczęło siedem lat głodu następować, jak powiedział Józef. I_był głód we_wszystkich_krainach, ale_w_całej_ziemi egipskiej był chleb.
Gen 41:55  I_nastał_głód (w)_całej_ziemi egipskiej, i_krzyczał lud do_faraona o_chleb. A_powiedział faraon do_wszystkich_Egipcjan: Idźcie do_Józefa, co_powie wam, uczyńcie.
Gen 41:56  A_głód był na całej_powierzchni ziemi. I_otworzył Józef **_wszystko,_co (było)_w_nich, i_sprzedawał Egipcjanom, a_wzmagał_się głód w_ziemi egipskiej.
Gen 41:57  A_(z)_wszystkich_krajów przybywali do_Egiptu, aby_kupować u_Józefa, gdyż_wzmagał_się głód na_całej_ziemi.
Gen 42:1  Gdy_zobaczył Jakub, że jest_zboże w_Egipcie i_powiedział Jakub do_synów_swoich: Na_co się_oglądacie?
Gen 42:2  I_powiedział: Oto słyszałem, że jest_zboże w_Egipcie. Jedźcie_tam i_kupcie_dla_nas stamtąd, i_będziemy_żyć i,_nie pomrzemy.
Gen 42:3  I_pojechali bracia_Józefa, dziesięciu, aby_kupić ziarno z_Egiptu.
Gen 42:4  A_Beniamina brata Józefa, nie_posłał Jakub z_braćmi_jego, bo pomyślał: Aby_nie_spotkało_go nieszczęście.
Gen 42:5  I_przybyli synowie Izraela, aby_kupić_zboże pośród przybywających, ponieważ_był głód w_ziemi Kanaan.
Gen 42:6  A_Józef on_(sam) rządził nad_krajem, on sprzedawał_zboże dla_całego_ludu kraju. I_przybyli bracia Józefa, i_oddali_pokłon_mu, twarzą do_ziemi.
Gen 42:7  Kiedy_zobaczył Józef **_braci_swoich, poznał_ich, ale_udawał_obcego wobec_nich. I_rozmawiał z_nimi surowo, i_powiedział do_nich: Skąd przybyliście? I_powiedzieli: Z_ziemi Kanaan, aby_kupić_żywność.
Gen 42:8  I_rozpoznał Józef **_braci_swych, a_oni nie rozpoznali_go.
Gen 42:9  I_przypomniał_(sobie) Józef ** sny, które śnił o_nich. I_powiedział do_nich: Szpiegami (jesteście)_wy, aby_zobaczyć **_nagość tego_kraju przybyliście.
Gen 42:10  I_powiedzieli mu: Nie, panie, ale_słudzy_twoi przybyli, aby_kupić_żywność.
Gen 42:11  Wszyscy_jesteśmy synami człowieka_jednego. My, uczciwymi (jesteśmy)_[my]! Nie_byli słudzy_twoi, szpiegami.
Gen 42:12  I_powiedział do_nich: Nie, bo_nagość kraju przybyliście zobaczyć.
Gen 42:13  I_powiedzieli: Dwóch (i)_dziesięciu, sług_twoich, (są)_braćmi. My_(jesteśmy) synami człowieka_jednego w_ziemi Kanaan, a_oto najmłodszy z_ojcem_naszym dzisiaj, a_jednego (już)_nie_ma.
Gen 42:14  I_powiedział do_nich Józef:(To_jest)_to, co powiedziałem wam, mówiąc, szpiegami wy_(jesteście).
Gen 42:15  Przez_to będziecie_poddani_próbie. Na_życie faraona! Nie_wyjedziecie stąd, aż nie_przybędzie brat_wasz najmłodszy, tutaj.
Gen 42:16  Wyślijcie spośród_was jednego aby_wziął **_brata_waszego, a_wy będziecie_uwięzieni. I_będą_sprawdzone słowa_wasze, czy_prawda (jest)_z_wami, a_jeśli_nie, (to_na)_życie faraona, że szpiegami wy_(jesteście).
Gen 42:17  I_zabrał ich pod_straż (na)_trzy dni.
Gen 42:18  I_powiedział do_nich Józef dnia trzeciego: To uczyńcie, a_będziecie_żyli, **_Boga ja się_boję,
Gen 42:19  jeśli_uczciwi wy_(jesteście), brat_wasz jeden pozostanie_uwięziony w_domu (w_którym)_strzeżeni_jesteście, a_wy idźcie, zanieście zboże, wedle_głodu domu_waszego.
Gen 42:20  I_brata_waszego najmłodszego przyprowadźcie do_mnie, aby_się_potwierdziły słowa_wasze. A_nie umrzecie, jeśli_uczynicie_tak.
Gen 42:21  I_mówili każdy do_brata_swego: Doprawdy, winni my_(jesteśmy) wobec_brata_naszego, którego widzieliśmy (w)_potrzebie ducha_jego, gdy_prosił_o_łaskę nas, a_nie usłuchaliśmy, dlatego przyszła na_nas bieda ta!
Gen 42:22  I_odpowiedział Ruben im, mówiąc: Czyż_nie mówiłem wam, mówiąc: Nie_grzeszcie przeciw_temu_chłopcu, ale_nie posłuchaliście a_więc_krew_jego, oto jest_poszukiwana.
Gen 42:23  A_oni nie wiedzieli, że rozumie_(to) Józef, bo tłumacz (był)_między_nimi.
Gen 42:24  I_odszedł od_nich, i_zapłakał, i_powrócił do_nich i_rozmawiał z_nimi. I_wziął z_nich **_Symeona, i_związał go na_oczach_ich.
Gen 42:25  I_rozkazał Józef, aby_napełnili **_wory_ich zbożem i_aby_zwrócono srebro_ich, każdemu do_worka_jego, i_aby_dano im prowiant na_drogę. I_uczyniono im tak.
Gen 42:26  I_włożyli **_zboże_ich na_osły_ich i_poszli stamtąd.
Gen 42:27  I_otworzył jeden **_worek_swój, aby_dać paszę osłu_swojemu w_gospodzie, i_zobaczył **_srebro_swoje, a_oto_(było)_[on] w_otworze wora_swego.
Gen 42:28  I_powiedział do_braci_swoich: Zwrócono srebro_moje, bowiem (są)_oto w_worze_moim. I_wyszło (odwagę)_serce_ich, i_byli_przerażeni, każdy do_brata_swego, mówiąc: Co_to uczynił Bóg nam.
Gen 42:29  I_przybyli do_Jakuba ojca_ich, do_ziemi Kanaan, i_opowiedzieli mu ** wszystko,_co_się_zdarzyło im, mówiąc:
Gen 42:30  Rozmawiał mąż, pan tego_kraju z_nami surowo, i_wziął nas za_szpiegów **_tego_kraju.
Gen 42:31  A_powiedzieliśmy mu: Uczciwi my_(jesteśmy), nie byliśmy szpiegami.
Gen 42:32  Dwunastoma, my_(byliśmy) braćmi, synami ojca_naszego, jednego (już)_nie_ma, a_najmłodszy dzisiaj z_ojcem_naszym w_ziemi Kanaan.
Gen 42:33  I_odpowiedział nam mąż, pan tego_kraju: Po_tym poznam, że uczciwi wy_(jesteście:) Brata_waszego jednego zostawcie ze_mną, a_z_(powodu)_głodu domów_waszych weźcie i_idźcie.
Gen 42:34  I_przyprowadźcie **_brata_waszego najmłodszego do_mnie, a_poznam, że nie szpiegami wy_(jesteście), że uczciwi wy_(jesteście).**_Brata_waszego oddam wam, i_ten_kraj będziecie_przemieszczać.
Gen 42:35  I_stało_się, (gdy)_oni opróżniali worki_swoje, a_oto_(miał)_każdy sakiewkę_srebra_swojego w_worku_swoim. I_zobaczyli **_sakiewki srebra_swoich, oni i_ojciec_ich, i_przerazili_się.
Gen 42:36  I_powiedział do_nich Jakub, ojciec_ich: Mnie pozbawiliście_dzieci, Józefa nie_ma_(już) i_Symeona nie_ma, i_**_Beniamina weźmiecie. Na_mnie przyszło to_wszystko.
Gen 42:37  I_powiedział Ruben do_ojca_swego, mówiąc: **_Dwóch synów_moich zabij, jeśli_nie przywiozę_go tobie! Oddaj go w_ręce_moje, a_ja zwrócę_go tobie.
Gen 42:38  I_powiedział: Nie_pojedzie syn_mój z_wami, bo_brat_jego (jest)_martwy, a_on sam pozostał. A_(jeśli)_spotka_go nieszczęście na_drodze, którą pójdziecie_**, to_sprawicie,_że_zstąpi **_siwizna_moja w_żalu do_Szeolu.
Gen 43:1  A_głód (był)_ciężki w_kraju.
Gen 43:2  I_stało_się, że skończyło_się do_jedzenia **_zboże, które sprowadzili z_Egiptu. I_powiedział do_nich ojciec_ich: Wróćcie, zakupcie_dla_nas trochę_żywności.
Gen 43:3  I_powiedział mu Juda, mówiąc: Ostrzegając ostrzegł nas, ten_mąż mówiąc: Nie_ujrzycie twarzy_mojej bez brata_waszego z_wami.
Gen 43:4  Jeśli_jesteś_(gotów) wysłać**_brata_naszego z_nami, zejdziemy i_zakupimy ci żywności.
Gen 43:5  A_jeśli_nie_jesteś_(gotów) wysłać, nie zejdziemy, bo_ten_mąż powiedział do_nas: Nie_ujrzycie twarzy_mojej, bez brata_waszego z_wami.
Gen 43:6  I_powiedział Izrael: Dlaczego tak_postąpiliście_źle mnie, mówiąc temu_człowiekowi, (że)_jeszcze macie brata.
